spot_id,x,y,Mbp_expression,Actb_expression
spot_01,100,100,2.1,8.5
spot_02,150,186,2.5,8.1
spot_03,200,100,1.9,8.4
spot_04,250,186,3.0,8.2
spot_05,300,100,5.5,8.8
spot_06,350,186,12.4,8.5
spot_07,400,100,14.2,8.6
spot_08,450,186,15.8,8.2
spot_09,500,100,14.5,8.4
spot_10,550,186,11.2,8.1
spot_11,600,100,5.1,8.3
spot_12,650,186,3.2,8.5
spot_13,100,273,2.4,8.2
spot_14,150,359,2.8,8.1
spot_15,200,273,2.6,8.6
spot_16,250,359,4.2,8.4
spot_17,300,273,8.5,8.3
spot_18,350,359,14.1,8.7
spot_19,400,273,16.5,8.8
spot_20,450,359,18.2,8.1
spot_21,500,273,17.4,8.5
spot_22,550,359,13.8,8.4
spot_23,600,273,7.2,8.2
spot_24,650,359,3.5,8.6
spot_25,100,446,2.3,8.3
spot_26,150,532,2.5,8.7
spot_27,200,446,2.9,8.1
spot_28,250,532,3.4,8.4
spot_29,300,446,6.2,8.2
spot_30,350,532,10.5,8.5
spot_31,400,446,13.2,8.8
spot_32,450,532,14.8,8.1
spot_33,500,446,12.6,8.5
spot_34,550,532,9.1,8.4
spot_35,600,446,4.5,8.2
spot_36,650,532,2.8,8.3
